0,56,14,46,19,38,26,33,34,30,43,26,57,24,67,24,78,29,87,38,92,50,84,55,79,58,72,62,63,65,51,66,39,65,31,63,22,59,16,50,13
1,24,37,29,36,36,32,44,27,48,25,53,21,56,18,59,15,60,15,59,22,59,30,58,45,58,54,58,60,58,69,58,78,58,83,58,89,58,90,58,84
2,29,27,36,21,45,15,51,12,59,11,63,13,67,19,70,27,70,36,66,44,58,53,48,61,40,65,35,68,33,74,34,80,52,83,61,83,66,84,73,84
3,27,22,37,17,49,12,56,12,60,16,64,25,62,36,57,41,48,42,50,42,63,45,68,49,71,57,73,63,70,69,58,79,48,85,37,87,30,83,25,71
4,47,11,42,14,36,23,31,32,27,39,29,46,44,49,59,49,68,48,74,48,70,38,66,31,61,27,55,37,51,47,49,59,45,72,43,80,39,90,37,91
5,76,11,63,11,54,9,48,10,40,11,39,21,39,37,39,46,48,41,58,38,69,39,74,42,75,48,75,58,71,69,65,77,52,85,40,88,31,87,25,80
6,53,4,52,10,47,19,40,36,36,48,36,55,36,65,36,75,39,81,45,84,54,82,61,77,65,71,67,65,67,59,64,52,56,48,49,47,42,48,37,52
7,20,16,23,16,35,16,51,16,59,17,64,17,68,17,72,17,72,21,65,32,59,45,52,64,48,78,44,88,40,98,35,114,33,126,32,123,33,120,33,116
8,60,13,51,13,48,20,47,26,51,37,58,50,63,61,65,74,63,80,54,81,44,76,39,69,41,57,48,48,54,41,59,34,63,29,66,19,66,12,59,8
9,56,25,50,19,40,10,32,7,22,8,20,12,21,21,27,26,36,27,44,24,49,21,53,20,53,33,53,48,53,65,51,72,40,78,31,78,23,71,19,65
0,56,15,53,20,47,24,42,32,39,39,36,48,36,59,36,69,40,79,43,84,48,86,55,84,60,79,64,70,67,56,68,45,68,36,67,28,60,20,53,17
1,22,38,26,40,34,37,42,35,46,33,52,28,57,22,61,17,62,14,63,13,63,20,60,30,59,39,55,50,53,63,52,68,52,73,52,82,51,87,48,83
2,34,33,38,25,45,17,53,17,58,23,61,27,62,39,62,45,61,53,55,60,51,65,45,70,40,74,36,78,34,84,42,87,53,89,61,89,67,90,71,90
3,19,38,27,33,49,20,59,16,65,20,70,30,71,36,68,42,58,47,58,49,64,55,68,61,72,72,72,78,68,85,58,88,50,89,42,87,36,81,33,75
4,50,19,46,27,42,35,40,41,37,48,35,55,34,63,36,67,46,68,57,69,63,69,63,65,60,59,58,53,56,46,50,59,47,70,45,77,44,87,42,87
5,70,17,57,16,47,16,38,15,32,17,31,26,31,34,31,41,33,45,42,40,56,41,65,45,68,53,67,64,64,77,55,81,46,84,36,83,28,78,23,68
6,56,20,54,27,48,37,44,44,40,51,35,62,33,68,35,74,39,78,44,81,50,82,56,82,60,78,62,74,63,68,61,63,53,59,46,56,39,55,32,56
7,32,23,35,23,41,23,48,23,55,19,58,19,62,18,66,18,69,18,68,23,64,34,60,42,56,50,54,59,51,67,49,71,49,74,49,77,49,80,47,80
8,60,17,51,20,47,29,46,39,48,46,53,53,59,61,63,71,60,78,49,83,40,80,34,73,32,65,41,57,53,50,60,40,63,33,63,23,60,17,56,16
9,61,25,61,20,54,16,46,16,39,21,37,27,35,34,36,40,41,45,47,47,55,44,60,36,61,31,60,43,57,61,55,75,52,83,44,82,36,75,32,68
0,58,26,50,29,43,36,39,42,35,52,33,64,32,72,34,81,39,83,46,86,55,79,59,74,63,66,68,53,68,46,66,38,64,31,58,26,52,23,47,23
1,35,41,43,37,51,32,58,25,61,24,64,20,66,17,69,15,69,19,66,29,65,39,64,50,62,55,61,62,60,69,60,73,60,76,60,83,58,89,56,88
2,37,34,43,31,51,29,57,30,63,32,67,35,68,39,68,45,65,49,59,55,48,64,44,68,40,69,35,73,31,76,40,80,52,84,59,85,65,86,68,86
3,35,29,40,23,46,20,56,23,60,26,63,32,58,37,52,41,45,46,53,50,62,54,66,58,67,64,67,70,61,81,55,86,50,86,40,82,36,77,35,68
4,57,19,52,24,47,31,43,40,40,46,37,54,36,60,43,61,52,64,63,64,71,64,75,63,75,54,72,45,66,45,61,52,57,61,54,73,53,79,49,81
5,52,18,46,16,39,16,31,17,27,22,27,29,29,37,30,45,41,41,48,41,56,44,63,48,67,59,69,66,65,77,57,79,44,79,34,76,28,70,26,65
6,65,21,60,23,54,27,46,32,40,37,33,45,30,53,29,58,29,63,32,67,37,71,44,75,50,74,52,69,53,64,53,58,53,53,50,48,47,44,42,39
7,36,21,44,20,55,20,64,20,67,19,70,19,71,18,73,18,75,18,76,19,76,22,75,27,72,32,69,39,68,46,66,51,63,57,62,62,60,66,59,70
8,62,16,52,19,48,28,48,39,54,49,58,57,62,67,63,74,58,78,51,81,44,78,41,72,44,53,49,44,58,37,65,27,67,17,67,11,61,8,58,14
9,63,22,60,19,52,19,45,21,41,25,36,31,35,35,35,41,40,43,53,36,57,32,61,27,64,22,62,40,57,71,56,81,55,87,51,89,45,85,42,76
